iter	Passed	Remaining
0	58	58309
1	58	29378
2	59	19669
3	59	14821
4	59	11931
5	60	9987
6	60	8598
7	60	7557
8	61	6746
9	61	6096
10	61	5566
11	62	5126
12	62	4750
13	62	4430
14	63	4155
15	63	3915
16	63	3698
17	64	3507
18	64	3335
19	64	3180
20	65	3040
21	65	2915
22	65	2799
23	66	2692
24	66	2595
25	66	2504
26	67	2420
27	67	2344
28	67	2272
29	68	2204
30	68	2140
31	68	2082
32	69	2026
33	69	1973
34	69	1923
35	70	1876
36	70	1832
37	70	1789
38	71	1749
39	71	1712
40	71	1675
41	71	1641
42	72	1612
43	72	1581
44	73	1551
45	73	1525
46	74	1501
47	74	1475
48	74	1451
49	75	1427
50	75	1403
51	75	1380
52	76	1358
53	76	1337
54	76	1318
55	77	1298
56	77	1279
57	77	1261
58	78	1244
59	78	1227
60	78	1211
61	79	1195
62	79	1179
63	79	1164
64	79	1150
65	80	1136
66	80	1123
67	80	1109
68	81	1097
69	81	1084
70	81	1072
71	82	1060
72	82	1048
73	82	1036
74	83	1026
75	83	1015
76	83	1005
77	84	994
78	84	984
79	84	975
80	85	965
81	85	956
82	85	944
83	85	937
84	86	928
85	86	920
86	86	912
87	87	903
88	87	896
89	87	889
90	88	882
91	88	876
92	89	869
93	89	862
94	89	855
95	90	848
96	90	841
97	90	835
98	91	828
99	91	822
100	91	815
101	92	810
102	92	803
103	92	797
104	92	792
105	93	786
106	93	780
107	93	775
108	94	770
109	94	764
110	94	759
111	95	754
112	95	749
113	95	744
114	96	739
115	96	734
116	96	729
117	96	724
118	97	720
119	97	715
120	97	711
121	98	705
122	98	701
123	98	697
124	99	693
125	99	689
126	99	685
127	100	681
128	100	677
129	100	673
130	100	669
131	101	665
132	101	662
133	101	658
134	102	654
135	102	651
136	102	647
137	103	644
138	103	640
139	103	637
140	104	634
141	104	630
142	104	629
143	105	625
144	105	623
145	106	620
146	106	618
147	106	615
148	107	612
149	107	609
150	107	605
151	108	602
152	108	599
