iter	RMSE
0	14.91086291
1	14.55020557
2	14.17681715
3	13.81057212
4	13.46757144
5	13.13718757
6	12.83600231
7	12.55008331
8	12.2906159
9	11.99817751
10	11.70478879
11	11.43914558
12	11.21252779
13	10.95367854
14	10.71430381
15	10.4790983
16	10.25368452
17	10.05101673
18	9.831146722
19	9.636702627
20	9.45890275
21	9.305040813
22	9.127155693
23	8.96078391
24	8.801525487
25	8.659288795
26	8.505777776
27	8.371623936
28	8.221221692
29	8.086950708
30	7.975173598
31	7.841325817
32	7.724731574
33	7.627704629
34	7.509750623
35	7.413201288
36	7.31471594
37	7.233183686
38	7.142946074
39	7.06262018
40	6.984715359
41	6.916560934
42	6.833291011
43	6.770865576
44	6.699646148
45	6.638160575
46	6.564463242
47	6.502987327
48	6.439645175
49	6.374093549
50	6.324067038
51	6.269864592
52	6.220692922
53	6.170153496
54	6.126150692
55	6.081952678
56	6.038436299
57	6.003818077
58	5.959911571
59	5.928286453
60	5.894282286
61	5.858817089
62	5.821997977
63	5.786378845
64	5.753071179
65	5.719565692
66	5.688473593
67	5.657878883
68	5.631193074
69	5.604419233
70	5.579241386
71	5.558359693
72	5.539631523
73	5.515214036
74	5.494781441
75	5.472515418
76	5.456295439
77	5.431146514
78	5.414894443
79	5.396495646
80	5.377702525
81	5.360561158
82	5.341155573
83	5.326623653
84	5.309576272
85	5.295845342
86	5.280988092
87	5.269075664
88	5.255808012
89	5.239504307
90	5.226990368
91	5.216047389
92	5.198797632
93	5.186157892
94	5.174155311
95	5.161461959
96	5.148454658
97	5.138403398
98	5.123177996
99	5.113301061
100	5.10275177
101	5.092853053
102	5.084913283
103	5.072121969
104	5.062354922
105	5.055791314
106	5.047253247
107	5.039527137
108	5.032455486
109	5.023271581
110	5.014636627
111	5.00831561
112	4.999928354
113	4.989833092
114	4.981666294
115	4.973543792
116	4.96534363
117	4.959793895
118	4.95158519
119	4.946335234
120	4.93679246
121	4.933372301
122	4.929399284
123	4.924071666
124	4.920891637
125	4.913043218
126	4.907040054
127	4.898107968
128	4.894518077
129	4.888113722
130	4.882848375
131	4.879607808
132	4.87187003
133	4.868208415
134	4.860157997
135	4.853808725
136	4.848509747
137	4.841835156
138	4.837115543
139	4.832963901
140	4.827497571
141	4.822536751
142	4.821521513
143	4.817340959
144	4.811946899
145	4.804501056
146	4.797719087
147	4.79439495
148	4.791917978
